app,io_subsystem,scaling,num_proc,avg_transfer_size_per_read/write,min_transfer_size_per_read/write,max_transfer_size_per_read/write,avg_io_bandwidth_per_read/write,min_io_bandwidth_per_read/write,max_io_bandwidth_per_read/write,avg_io_bandwidth_per_rank,min_io_bandwidth_per_rank,max_io_bandwidth_per_rank,avg_io_time_over_rank,min_io_time_over_rank,max_io_time_over_rank,avg_transfer_time_over_rank,min_transfer_time_over_rank,max_transfer_time_over_rank,avg_io_intensity_over_rank,min_io_intensity_over_rank,max_io_intensity_over_rank
haccio,lassen gpfs,strong-scaling,64,4449778.386276022,6.0,25165824.0,4450032376.101286,1857142.8571189085,11155063829.782665,805424227.1758907,47673506.32941507,2149387105.2317295,0.31035348437499993,0.0419550000000013,1.8915649999999997,0.08646628124999992,0.019973999999999714,0.15754599999999996,0.08423457190180257,0.011384493221527089,0.5133255251455338
haccio,lassen gpfs,strong-scaling,128,3489556.8637951105,5.0,25165824.0,4749004153.321308,1560000.0000036357,11650844444.425606,88532333.09378153,28812113.009920593,1149265368.8859158,1.8008985234374995,0.06113000000000346,2.4383699999999973,0.09270412500000016,0.019643999999996886,0.49458499999999983,0.34187702664570563,0.011606723515654817,0.4629634134607001
haccio,lassen gpfs,strong-scaling,256,3004679.576406463,7.0,25165824.0,5726498882.827761,1695652.173872469,11781752808.988005,95751512.60905753,27008569.367981125,3912597014.9248853,1.9400336367187498,0.015410000000001922,2.232369999999999,0.019604261718749988,0.010997999999998953,0.10936299999999921,0.41825068240487473,0.003321792770991624,0.48120673793977714
haccio,lassen gpfs,strong-scaling,512,2761035.4755776543,7.0,25165824.0,5228165380.716611,1163977.3726322553,11023137976.34567,57046141.467342205,16797764.362820935,3388408723.3514733,2.3994232363281225,0.016324000000003114,3.2928419999999994,0.02559087695312496,0.009161999999998116,0.1713830000000005,0.3872385145282526,0.0026347714285477426,0.5314958401966696
haccio,lassen gpfs,strong-scaling,1024,2638910.3112162757,7.0,25165824.0,4599672816.414979,825338.4547572576,11407898458.74808,21683652.20208267,11142860.276987178,1529742716.478181,3.055869426757814,0.0345300000000055,4.740436000000001,0.0261095068359374,0.008573999999999415,0.28047799999999956,0.45061877610311124,0.005091289365708518,0.6990938767228474
haccio,lassen gpfs,weak-scaling,64,2975142.5936777177,7.0,25165824.0,4146711186.429467,2437499.9999975623,10381940594.068995,1055162532.7905277,35467375.70295775,2284349473.3652525,0.23595140625000005,0.02639399999999892,1.6999599999999984,0.021743015625000126,0.014772999999998815,0.09401400000000004,0.06325200818768914,0.007075667203168254,0.4557413761913021
haccio,lassen gpfs,weak-scaling,128,2994768.964687621,6.0,25165824.0,5229028488.616389,1499999.9999952973,11522813186.777061,100308756.77737574,24981477.207705107,3138795356.3432302,1.9794192421874999,0.01920900000000092,2.413513000000001,0.030615414062500117,0.011993000000001253,0.2171460000000005,0.4162462653355943,0.00403900186558822,0.5075180973941726
haccio,lassen gpfs,weak-scaling,256,3004679.5762117966,7.0,25165824.0,5686487993.809797,1857142.8571974551,14768676056.305939,106466427.84535906,26516993.48302409,3473906430.0526223,1.8154103476562504,0.017356000000001925,2.2737540000000016,0.023719589843750034,0.009990999999998973,0.15562899999999935,0.42140046075243337,0.004029387012190399,0.5278998852411906
haccio,lassen gpfs,weak-scaling,512,3009659.5206200643,6.0,25165824.0,5899887378.753826,1950000.0000738224,12052597701.310402,94984068.14090806,13722174.149936056,4039469382.286426,3.5786972148437473,0.014925999999998218,4.393846000000004,0.02026890039062494,0.01001099999999866,0.1473650000000042,0.4082053923257231,0.0017026728874441274,0.5012028583348609
haccio,lassen gpfs,weak-scaling,1024,3012155.6883934233,7.0,25165824.0,5069351880.564746,1857142.8571189085,12052597701.187359,42554765.83718334,13903476.265695073,931110356.1169682,2.7920020664062486,0.06475400000000198,4.336550000000003,0.02339568554687497,0.010285000000001432,0.13911400000000107,0.4167777667480734,0.009663878847354198,0.6472102437423859
haccio,lassen node-local bb,strong-scaling,64,4449778.387047032,6.0,25165824.0,2957070950.4596314,1695652.173905209,5216796019.897441,2839617086.217856,1932734707.8743067,4083387792.0663276,0.03426968750000014,0.02208400000000177,0.04665800000000031,0.03375506250000004,0.021623000000000392,0.04611399999999888,0.012544312124912626,0.008079108348850766,0.01707007732664816
haccio,lassen node-local bb,strong-scaling,128,3489556.8645712067,6.0,25165824.0,3142468092.687731,1625000.0000134092,7384338028.176063,3003682406.842407,2538099421.965223,4101978863.782145,0.02410319531249998,0.01712700000000078,0.027680000000001037,0.02359109374999987,0.01659700000000086,0.027121000000000617,0.009561130255879508,0.006798139470233355,0.010974854717686422
haccio,lassen node-local bb,strong-scaling,256,3004679.576406463,6.0,25165824.0,3297617820.6775794,1300000.0000107272,8886237288.16433,3041835459.2652955,2472549518.1464815,5155902172.054689,0.020534769531250094,0.011693999999998539,0.024384999999999213,0.020035839843750007,0.01120799999999944,0.0238170000000002,0.006986728952516008,0.003977747390829423,0.008292691637255364
haccio,lassen node-local bb,strong-scaling,512,2761035.476162621,6.0,25165824.0,3447421529.160191,1344827.5862042645,8738133333.405437,3074008686.6226687,1923240055.6328452,4119489387.056181,0.018742005859375098,0.01342699999999919,0.028759999999999675,0.01827195703125003,0.01304099999999897,0.028398000000000145,0.0069282488842552625,0.004964429907177766,0.010633888476571695
