App: LBANN-1.0.0-Autoencoder_cifar10_POSIX
I/O Intensity: 
     io_time  comm_time  compute_time  total_time
0   0.029821   0.137555      0.832624         1.0
1   0.054628   0.149261      0.796111         1.0
2   0.053890   0.148661      0.797449         1.0
3   0.053898   0.152082      0.794020         1.0
4   0.055998   0.156346      0.787656         1.0
5   0.058999   0.168662      0.772339         1.0
6   0.055879   0.177686      0.766435         1.0
7   0.055662   0.175816      0.768522         1.0
8   0.054821   0.156678      0.788500         1.0
9   0.051743   0.150078      0.798179         1.0
10  0.055031   0.160544      0.784425         1.0
11  0.059662   0.159918      0.780420         1.0
12  0.060456   0.160127      0.779416         1.0
13  0.058766   0.177143      0.764091         1.0
14  0.059049   0.181807      0.759145         1.0
15  0.057684   0.180344      0.761972         1.0
16  0.054308   0.146078      0.799614         1.0
17  0.055669   0.150342      0.793990         1.0
18  0.050980   0.141582      0.807438         1.0
19  0.055402   0.151511      0.793087         1.0
20  0.058823   0.147415      0.793761         1.0
21  0.061474   0.170100      0.768426         1.0
22  0.060178   0.176856      0.762966         1.0
23  0.059466   0.176741      0.763793         1.0
24  0.053996   0.150775      0.795229         1.0
25  0.055377   0.155360      0.789263         1.0
26  0.055204   0.152049      0.792747         1.0
27  0.051027   0.146357      0.802616         1.0
28  0.063341   0.157411      0.779248         1.0
29  0.060992   0.173749      0.765259         1.0
30  0.060922   0.182397      0.756681         1.0
31  0.061664   0.181949      0.756387         1.0
32  0.052888   0.141963      0.805149         1.0
33  0.055980   0.145496      0.798525         1.0
34  0.056290   0.146691      0.797019         1.0
35  0.056107   0.145560      0.798332         1.0
36  0.053114   0.140450      0.806436         1.0
37  0.056042   0.164404      0.779554         1.0
38  0.058546   0.168043      0.773410         1.0
39  0.059114   0.169598      0.771288         1.0
40  0.055329   0.143312      0.801359         1.0
41  0.056993   0.148270      0.794738         1.0
42  0.056431   0.148974      0.794595         1.0
43  0.056931   0.148827      0.794242         1.0
44  0.061370   0.152846      0.785784         1.0
45  0.054496   0.157642      0.787862         1.0
46  0.060381   0.172447      0.767172         1.0
47  0.060567   0.171312      0.768121         1.0
48  0.053089   0.137700      0.809212         1.0
49  0.056674   0.140583      0.802743         1.0
50  0.054730   0.141763      0.803506         1.0
51  0.056234   0.141324      0.802442         1.0
52  0.060131   0.137800      0.802069         1.0
53  0.060487   0.150364      0.789149         1.0
54  0.054581   0.146141      0.799278         1.0
55  0.059235   0.154326      0.786438         1.0
56  0.053222   0.148595      0.798184         1.0
57  0.055179   0.155394      0.789427         1.0
58  0.056034   0.158620      0.785346         1.0
59  0.055893   0.155009      0.789098         1.0
60  0.058619   0.162265      0.779116         1.0
61  0.057882   0.173473      0.768645         1.0
62  0.058741   0.176349      0.764910         1.0
63  0.052703   0.169183      0.778114         1.0
Mean I/O Intensity over ranks: 
io_time         0.056388
comm_time       0.157314
compute_time    0.786298
total_time      1.000000
==================================


App: qmcpack-3.9.2-simple_h2o_HDF5
I/O Intensity: 
     io_time  comm_time  compute_time  total_time
0   0.040281   0.089289      0.870430         1.0
1   0.024983   0.137953      0.837064         1.0
2   0.025072   0.152742      0.822186         1.0
3   0.025040   0.140555      0.834405         1.0
4   0.025398   0.120927      0.853675         1.0
5   0.025242   0.164453      0.810305         1.0
6   0.024830   0.159776      0.815394         1.0
7   0.024999   0.173236      0.801765         1.0
8   0.025026   0.106027      0.868948         1.0
9   0.024681   0.096562      0.878756         1.0
10  0.024481   0.115230      0.860290         1.0
11  0.024765   0.114435      0.860800         1.0
12  0.024892   0.106445      0.868663         1.0
13  0.024765   0.160368      0.814866         1.0
14  0.024780   0.161162      0.814058         1.0
15  0.024763   0.145035      0.830202         1.0
16  0.023963   0.105273      0.870763         1.0
17  0.023820   0.100271      0.875909         1.0
18  0.023837   0.094743      0.881420         1.0
19  0.023627   0.098676      0.877696         1.0
20  0.023729   0.099325      0.876946         1.0
21  0.023680   0.138292      0.838028         1.0
22  0.023668   0.139569      0.836763         1.0
23  0.023838   0.141510      0.834652         1.0
24  0.024306   0.139273      0.836422         1.0
25  0.024199   0.132162      0.843639         1.0
26  0.024445   0.147288      0.828267         1.0
27  0.024273   0.129481      0.846246         1.0
28  0.024576   0.115446      0.859978         1.0
29  0.024278   0.161097      0.814624         1.0
30  0.024399   0.158648      0.816953         1.0
31  0.024479   0.163799      0.811723         1.0
32  0.024223   0.111205      0.864572         1.0
33  0.024089   0.111267      0.864644         1.0
34  0.024114   0.106963      0.868923         1.0
35  0.023794   0.115627      0.860579         1.0
36  0.023972   0.099915      0.876113         1.0
37  0.023974   0.146824      0.829201         1.0
38  0.024202   0.154063      0.821735         1.0
39  0.024045   0.148972      0.826983         1.0
40  0.024677   0.109902      0.865421         1.0
41  0.024293   0.095940      0.879767         1.0
42  0.024199   0.109269      0.866532         1.0
43  0.024318   0.107538      0.868144         1.0
44  0.024433   0.088591      0.886977         1.0
45  0.024247   0.136361      0.839392         1.0
46  0.024292   0.131227      0.844480         1.0
47  0.024262   0.135545      0.840193         1.0
48  0.024523   0.116534      0.858944         1.0
49  0.024274   0.110655      0.865071         1.0
50  0.024245   0.127426      0.848329         1.0
51  0.024324   0.129507      0.846169         1.0
52  0.024677   0.103784      0.871539         1.0
53  0.024373   0.156618      0.819009         1.0
54  0.024478   0.166394      0.809128         1.0
55  0.024658   0.163720      0.811622         1.0
