app,io_subsystem,scaling,num_proc,speed_up
haccio,cori bb,strong-scaling,64,1.03517683
haccio,cori bb,strong-scaling,128,0.385005495
haccio,cori bb,strong-scaling,256,0.333549904
haccio,cori bb,strong-scaling,512,0.151206557
haccio,cori bb,strong-scaling,1024,0.083655828
haccio,cori bb,weak-scaling,64,1.54566215
haccio,cori bb,weak-scaling,128,0.588192639
haccio,cori bb,weak-scaling,256,0.429043405
haccio,cori bb,weak-scaling,512,0.099944359
haccio,cori bb,weak-scaling,1024,0.260480349
haccio,lassen bb,strong-scaling,64,99.12726884
haccio,lassen bb,strong-scaling,128,23.44852478
haccio,lassen bb,strong-scaling,256,99.47759621
haccio,lassen bb,strong-scaling,512,96.39100404
haccio,lassen bb,strong-scaling,1024,41.67770588
haccio,lassen bb,weak-scaling,64,19.07367359
haccio,lassen bb,weak-scaling,128,20.12547062
haccio,lassen bb,weak-scaling,256,75.09635553
haccio,lassen bb,weak-scaling,512,89.96425366
haccio,lassen bb,weak-scaling,1024,31.46328789
haccio,summit bb,strong-scaling,64,23.86938769
haccio,summit bb,strong-scaling,128,9.412488976
haccio,summit bb,strong-scaling,256,12.08280818
haccio,summit bb,strong-scaling,512,21.94195505
haccio,summit bb,strong-scaling,1024,140.9463503
haccio,summit bb,weak-scaling,64,6.372281103
haccio,summit bb,weak-scaling,128,43.86692395
haccio,summit bb,weak-scaling,256,71.91142815
haccio,summit bb,weak-scaling,512,48.13992945
haccio,summit bb,weak-scaling,1024,38.72127171
paradis,cori bb,weak-scaling,64,1.00546409
paradis,cori bb,weak-scaling,128,0.989489639
paradis,cori bb,weak-scaling,256,1.08246304
paradis,cori bb,weak-scaling,512,0.993409977
paradis,cori bb,weak-scaling,1024,0.855071036
paradis,lassen bb,weak-scaling,64,1.012096971
paradis,lassen bb,weak-scaling,128,1.00833287
paradis,lassen bb,weak-scaling,256,1.014458816
paradis,lassen bb,weak-scaling,512,1.05466351
paradis,lassen bb,weak-scaling,1024,1.104688792
