app,transfer_size,io_subsystem,scaling,num_proc,io_bandwidth,io_time,transfer_time
paradis,<1k,lassen gpfs,weak-scaling,64,1326774.3804595214,0.176495562500013,0.0038205624999998
paradis,<1k,lassen gpfs,weak-scaling,128,1331108.394358596,0.0773675937499675,0.0022676718750006
paradis,<1k,lassen gpfs,weak-scaling,256,1303852.2973431034,0.0538627968749903,0.0021635390624996
paradis,<1k,lassen gpfs,weak-scaling,512,1523375.0944130707,0.0412439433593731,0.0006404422310758
paradis,<1k,lassen gpfs,weak-scaling,1024,1433624.9021295349,0.0608860439453125,0.0004377812499999
paradis,<1k,lassen node-local bb,weak-scaling,64,1380309.4195555567,0.1235513125000054,0.0037585937500003
paradis,<1k,lassen node-local bb,weak-scaling,128,1292618.230456857,0.0625490859374946,0.0023868828125007
paradis,<1k,lassen node-local bb,weak-scaling,256,1303246.779317983,0.0325010234375073,0.002161875
paradis,<1k,lassen node-local bb,weak-scaling,512,1667292.4453932417,0.0159675527343764,0.0005654183266932
paradis,<1k,lassen node-local bb,weak-scaling,1024,1597040.323153286,0.0083046904296868,0.0003936197183098
paradis,<1k,summit gpfs,weak-scaling,64,2203551.397659356,0.143147156250027,0.0021923125000022
paradis,<1k,summit gpfs,weak-scaling,128,3484958.103032308,0.0748461484375084,0.00132571875
paradis,<1k,summit gpfs,weak-scaling,256,4009009.121170551,0.0509044375000017,0.0011605273437505
paradis,<1k,summit gpfs,weak-scaling,512,4668511.118000843,0.0390208300781258,0.0006215937499998
paradis,<1k,summit gpfs,weak-scaling,1024,4754786.723207393,0.0267785898437518,0.0004899736328124
paradis,<1k,summit node-local bb,weak-scaling,64,2269865.10885547,0.1105231874999546,0.0021664062499999
paradis,<1k,summit node-local bb,weak-scaling,128,3477061.0396914934,0.0557062109374883,0.0012832890625002
paradis,<1k,summit node-local bb,weak-scaling,256,4021834.835186168,0.0285658750000125,0.0011853085937492
paradis,<1k,summit node-local bb,weak-scaling,512,4720821.657932681,0.0144162890625031,0.0005861328125
paradis,<1k,summit node-local bb,weak-scaling,1024,4755354.631909338,0.0075416162109388,0.0004907626953127
paradis,<1k,cori lustre,weak-scaling,64,24455446.710542902,0.1605983281250376,0.0002347656249998
paradis,<1k,cori lustre,weak-scaling,128,25008988.42895687,0.0841471015625132,0.0001731484374994
paradis,<1k,cori lustre,weak-scaling,256,26103494.025829725,0.1440356445312546,0.00027709375
paradis,<1k,cori lustre,weak-scaling,512,26676801.875270285,0.0433391406249996,0.0002341054687496
paradis,<1k,cori lustre,weak-scaling,1024,26886438.088115547,0.0515014697265659,0.0002344951171875
paradis,<1k,cori default bb,weak-scaling,64,24278601.801434875,0.181998281249931,0.0002470937499962
paradis,<1k,cori default bb,weak-scaling,128,24983726.46533812,0.1009746250000127,0.0001775390624994
paradis,<1k,cori default bb,weak-scaling,256,26213566.282815687,0.1041032382812445,0.0002726875000001
paradis,<1k,cori default bb,weak-scaling,512,26515304.103106026,0.0470166269531183,0.000237697265625
paradis,<1k,cori default bb,weak-scaling,1024,26861484.793100435,0.1003344472656259,0.0002462060546874
ior-t4k,4k,lassen gpfs,weak-scaling,64,498702716.7537317,2.713323078125001,0.1007607187499984
ior-t4k,4k,lassen gpfs,weak-scaling,128,435102706.1499073,6.326165117187502,0.0857817968750076
ior-t4k,4k,lassen gpfs,weak-scaling,256,461887807.8977448,2.7288298671875,0.0842796835937512
ior-t4k,4k,lassen gpfs,weak-scaling,512,451368019.2333591,3.8067854824218754,0.0839666347656245
ior-t4k,4k,lassen gpfs,weak-scaling,1024,450242610.9938548,2.6513464111328098,0.0857492900390617
ior-t4k,4k,lassen node-local bb,weak-scaling,64,1078911681.8700566,0.1004569843749977,0.0851075781249984
ior-t4k,4k,lassen node-local bb,weak-scaling,128,1070673354.611596,0.1215246640625015,0.1063335312499993
ior-t4k,4k,lassen node-local bb,weak-scaling,256,1083938981.5573406,0.121305996093749,0.1063832695312503
ior-t4k,4k,lassen node-local bb,weak-scaling,512,1076020321.7738068,0.1212900957031263,0.1063057500000014
ior-t4k,4k,lassen node-local bb,weak-scaling,1024,1079984158.6612663,0.1505022441406249,0.1354067978515629
ior-t4k,4k,summit gpfs,weak-scaling,64,398686703.1102589,0.1793629062500002,0.1144068125000001
ior-t4k,4k,summit gpfs,weak-scaling,128,390100239.517976,0.208642171875,0.1130170390624999
ior-t4k,4k,summit gpfs,weak-scaling,256,384939495.8324294,0.2481113593750005,0.0991882460937504
ior-t4k,4k,summit gpfs,weak-scaling,512,381122803.0540814,0.3778171953125,0.0966436699218753
ior-t4k,4k,summit gpfs,weak-scaling,1024,375590479.03122336,0.7950863789062498,0.1008435595703115
ior-t4k,4k,summit node-local bb,weak-scaling,64,1744949030.3195949,0.0332222499999998,0.0228108124999999
ior-t4k,4k,summit node-local bb,weak-scaling,128,2046518962.870566,0.03015403125,0.0198445859375
ior-t4k,4k,summit node-local bb,weak-scaling,256,2374181937.224152,0.0262563085937498,0.0168655507812498
ior-t4k,4k,summit node-local bb,weak-scaling,512,2384737507.3686395,0.0261848398437501,0.0167689218749999
ior-t4k,4k,summit node-local bb,weak-scaling,1024,2378739490.87968,0.0264337783203124,0.0168245263671874
ior-t64k,64k,lassen gpfs,weak-scaling,64,5332502630.208618,1.6952448125000008,0.0309399687499999
ior-t64k,64k,lassen gpfs,weak-scaling,128,5269615674.542698,1.5878584609374993,0.0231236874999999
ior-t64k,64k,lassen gpfs,weak-scaling,256,4923858915.481371,1.8563654687500004,0.0132563281250005
ior-t64k,64k,lassen gpfs,weak-scaling,512,4813082978.160299,2.119949402343749,0.0124359062500001
ior-t64k,64k,lassen gpfs,weak-scaling,1024,4534724007.495744,2.590530611328125,0.0101709208984373
ior-t64k,64k,lassen node-local bb,weak-scaling,64,6759487349.77594,0.0086518749999999,0.006065140625
ior-t64k,64k,lassen node-local bb,weak-scaling,128,6593611752.192802,0.0089859531249998,0.0063013515625
ior-t64k,64k,lassen node-local bb,weak-scaling,256,6789750051.317367,0.00876822265625,0.0060783085937499
ior-t64k,64k,lassen node-local bb,weak-scaling,512,6816012486.83832,0.0086869628906251,0.0060608281250001
ior-t64k,64k,lassen node-local bb,weak-scaling,1024,6836963023.192155,0.0082490634765623,0.005832611328125
ior-t64k,64k,summit gpfs,weak-scaling,64,4200867956.961832,0.2404195625,0.01353953125
ior-t64k,64k,summit gpfs,weak-scaling,128,4391253228.260689,0.1253135625000001,0.0226226640625
ior-t64k,64k,summit gpfs,weak-scaling,256,4332857461.919057,0.19474039453125,0.01988131640625
ior-t64k,64k,summit gpfs,weak-scaling,512,3787479636.692116,0.489241517578125,0.0140963710937499
ior-t64k,64k,summit gpfs,weak-scaling,1024,4248355989.52717,0.554367552734375,0.0119107148437499
ior-t64k,64k,summit node-local bb,weak-scaling,64,8802415126.821426,0.0083314374999999,0.0041904374999999
ior-t64k,64k,summit node-local bb,weak-scaling,128,9087126340.148912,0.008064234375,0.0040066953125
ior-t64k,64k,summit node-local bb,weak-scaling,256,8872304290.94643,0.00783124609375,0.00413852734375
ior-t64k,64k,summit node-local bb,weak-scaling,512,9060118925.321417,0.0078015234374999,0.0040297734374999
ior-t64k,64k,summit node-local bb,weak-scaling,1024,9098032424.612318,0.0080752578124999,0.0040068906249999
ior-t64k,64k,cori lustre,weak-scaling,64,25247466.40785894,1.461229296875,1.4446666250000002
ior-t64k,64k,cori lustre,weak-scaling,128,36868545.14036432,0.9774130468749996,0.9659776406249998
ior-t64k,64k,cori lustre,weak-scaling,256,19144799.111977138,2.00314770703125,1.9406773671875
ior-t64k,64k,cori lustre,weak-scaling,512,10665461.92103349,3.3965770820312504,3.3262450820312504
ior-t64k,64k,cori lustre,weak-scaling,1024,5516973.991910954,8.525036301757812,8.33580507421875
ior-t64k,64k,cori default bb,weak-scaling,64,25247466.40785894,1.461229296875,1.4446666250000002
ior-t64k,64k,cori default bb,weak-scaling,128,36868545.14036432,0.9774130468749996,0.9659776406249998
ior-t64k,64k,cori default bb,weak-scaling,256,19144799.111977138,2.00314770703125,1.9406773671875
ior-t64k,64k,cori default bb,weak-scaling,512,10665461.92103349,3.3965770820312504,3.3262450820312504
ior-t64k,64k,cori default bb,weak-scaling,1024,5516973.991910954,8.525036301757812,8.33580507421875
ior-t1m,1m,lassen gpfs,weak-scaling,64,8704925151.39505,1.5878698437499996,0.0204528749999997
ior-t1m,1m,lassen gpfs,weak-scaling,128,8794349315.586037,1.7368116874999997,0.0217248906249999
ior-t1m,1m,lassen gpfs,weak-scaling,256,8496040943.833496,1.9878053515625,0.0119439765625
ior-t1m,1m,lassen gpfs,weak-scaling,512,7823455350.550562,2.3608571816406245,0.00881565625
ior-t1m,1m,lassen gpfs,weak-scaling,1024,7750683436.981723,2.470438657226562,0.0112083027343749
ior-t1m,1m,lassen node-local bb,weak-scaling,64,7114549183.045504,0.0072309843749999,0.0052997812499999
ior-t1m,1m,lassen node-local bb,weak-scaling,128,7022568117.88563,0.007315875,0.0053743984375
ior-t1m,1m,lassen node-local bb,weak-scaling,256,7064791487.799364,0.0069965234374998,0.0053569492187499
ior-t1m,1m,lassen node-local bb,weak-scaling,512,6963273334.059462,0.0071545703125,0.00545371875
ior-t1m,1m,lassen node-local bb,weak-scaling,1024,7069199076.05043,0.0070578369140625,0.0053457802734375
ior-t1m,1m,summit gpfs,weak-scaling,64,6822424681.896598,0.1386840937499999,0.0561959374999999
ior-t1m,1m,summit gpfs,weak-scaling,128,7065730494.655691,0.188243703125,0.012537015625
ior-t1m,1m,summit gpfs,weak-scaling,256,7935849458.807214,0.218613546875,0.0258765625
ior-t1m,1m,summit gpfs,weak-scaling,512,7842382393.659913,0.2635730800781249,0.0078970390625
ior-t1m,1m,summit gpfs,weak-scaling,1024,7664016701.163284,0.5564876025390626,0.008667470703125
ior-t1m,1m,summit node-local bb,weak-scaling,64,8671400916.55407,0.0077476406249999,0.0043408124999999
ior-t1m,1m,summit node-local bb,weak-scaling,128,8893275178.735222,0.0078678828125,0.00428134375
ior-t1m,1m,summit node-local bb,weak-scaling,256,8555310663.752592,0.0080156718749999,0.0044279999999999
ior-t1m,1m,summit node-local bb,weak-scaling,512,8878107026.115856,0.00828895703125,0.004307068359375
ior-t1m,1m,summit node-local bb,weak-scaling,1024,8613060375.463413,0.0082744033203124,0.0044226630859374
ior-t1m,1m,cori lustre,weak-scaling,64,2347614414.5724907,0.11658559375,0.0257144375
ior-t1m,1m,cori lustre,weak-scaling,128,2726899971.39306,0.1163740156249999,0.034830140625
ior-t1m,1m,cori lustre,weak-scaling,256,3140039345.657447,0.1496080703125,0.03885251171875
ior-t1m,1m,cori lustre,weak-scaling,512,3406051402.969107,0.2521804824218749,0.0341095410156249
ior-t1m,1m,cori lustre,weak-scaling,1024,3418736534.9150257,0.414537642578125,0.0271411748046874
ior-t1m,1m,cori default bb,weak-scaling,64,121549290.6984923,0.3211841249999999,0.3052829999999999
ior-t1m,1m,cori default bb,weak-scaling,128,69626190.70208748,0.5688597890625,0.5529812656249999
ior-t1m,1m,cori default bb,weak-scaling,256,35447330.538789675,1.12272130859375,1.0998431640625
ior-t1m,1m,cori default bb,weak-scaling,512,21311373.427972607,2.103991943359375,1.963110583984375
ior-t1m,1m,cori default bb,weak-scaling,1024,11654121.166341078,4.716084943359375,3.897664225585937
