app,transfer_size,io_subsystem,scaling,num_proc,io_bandwidth,io_time,transfer_time
ior-t1m,1m,cori lustre,weak-scaling,64,2347614414.5724907,0.11658559375,0.025714437500000013
ior-t1m,1m,cori lustre,weak-scaling,128,2726899971.3930597,0.11637401562499995,0.034830140625
ior-t1m,1m,cori lustre,weak-scaling,256,3140039345.657447,0.1496080703125,0.03885251171875001
ior-t1m,1m,cori lustre,weak-scaling,512,3406051402.969107,0.25218048242187496,0.034109541015624995
ior-t1m,1m,cori lustre,weak-scaling,1024,3418736534.9150257,0.414537642578125,0.02714117480468749
ior-t1m,1m,cori 1 bb,weak-scaling,64,121549290.6984923,0.32118412499999993,0.30528299999999997
ior-t1m,1m,cori 1 bb,weak-scaling,128,69626190.70208748,0.5688597890625,0.5529812656249999
ior-t1m,1m,cori 1 bb,weak-scaling,256,35447330.538789675,1.12272130859375,1.0998431640625
ior-t1m,1m,cori 1 bb,weak-scaling,512,21311373.427972607,2.103991943359375,1.963110583984375
ior-t1m,1m,cori 1 bb,weak-scaling,1024,11654121.166341078,4.716084943359375,3.8976642255859373
ior-t1m,1m,cori 2 bb,weak-scaling,64,234287608.76307216,0.17307135937499998,0.157076671875
ior-t1m,1m,cori 2 bb,weak-scaling,128,117356887.93885727,0.34941964843749995,0.3193953515625
ior-t1m,1m,cori 2 bb,weak-scaling,256,112229369.34720121,0.6395580195312499,0.59765035546875
ior-t1m,1m,cori 2 bb,weak-scaling,512,32134854.119619414,1.34967782421875,1.2592183906249999
ior-t1m,1m,cori 2 bb,weak-scaling,1024,35856467.97283684,2.8748565117187495,2.5639445136718746
ior-t1m,1m,cori 4 bb,weak-scaling,64,251422152.25196418,0.19419178125,0.17977489062500002
ior-t1m,1m,cori 4 bb,weak-scaling,128,169844924.31666505,0.24896899999999994,0.23042410937499996
ior-t1m,1m,cori 4 bb,weak-scaling,256,108358292.73280638,0.3863688515625,0.36090187890625003
ior-t1m,1m,cori 4 bb,weak-scaling,512,65428061.5934636,0.944531662109375,0.907380287109375
ior-t1m,1m,cori 4 bb,weak-scaling,1024,62486835.740421385,1.495064509765625,1.40804388671875
ior-t1m,1m,cori 8 bb,weak-scaling,64,292163948.1417898,0.14596576562500002,0.131084859375
ior-t1m,1m,cori 8 bb,weak-scaling,128,259251917.31195128,0.17963386718750002,0.1626943671875
ior-t1m,1m,cori 8 bb,weak-scaling,256,182861167.20063412,0.22936204687499998,0.21127003515624998
ior-t1m,1m,cori 8 bb,weak-scaling,512,91114907.72143206,0.527365369140625,0.49060812109374996
ior-t1m,1m,cori 8 bb,weak-scaling,1024,72001363.1042617,0.92267909375,0.8743683388671875
ior-t1m,1m,cori 16 bb,weak-scaling,64,337426023.47522146,0.135263484375,0.12453173437499998
ior-t1m,1m,cori 16 bb,weak-scaling,128,277455090.7213654,0.17076215625,0.15594465624999998
ior-t1m,1m,cori 16 bb,weak-scaling,256,296072298.7586099,0.17478254296874998,0.16121704296875
ior-t1m,1m,cori 16 bb,weak-scaling,512,275842794.6332964,0.23361264062499998,0.21143574999999998
ior-t1m,1m,cori 16 bb,weak-scaling,1024,154558801.40118182,0.33285652929687504,0.288519298828125
