app,machine,scaling,num_proc,io_volume,io_intensity
ior-t1m,lassen regular,strong-scaling,64,1047808.607,20.40780971
ior-t1m,lassen regular,strong-scaling,128,1047808.607,6.384832018
ior-t1m,lassen regular,strong-scaling,256,1047808.607,0.944495733
ior-t1m,lassen regular,strong-scaling,512,1047808.607,1.120191438
ior-t1m,lassen regular,strong-scaling,1024,1047808.607,3.527486757
ior-t1m,summit regular,strong-scaling,64,1047808.607,1.580024424
ior-t1m,summit regular,strong-scaling,128,1047808.607,1.864718315
ior-t1m,summit regular,strong-scaling,256,1047808.607,1.372269398
ior-t1m,summit regular,strong-scaling,512,1047808.607,0.933871824
ior-t1m,summit regular,strong-scaling,1024,1047808.607,0.831354539
ior-t1m,cori regular,strong-scaling,64,1047808.607,8.284168512
ior-t1m,cori regular,strong-scaling,128,1047808.607,3.412663827
ior-t1m,cori regular,strong-scaling,256,1047808.607,1.698708245
ior-t1m,cori regular,strong-scaling,512,1047808.607,1.121337011
ior-t1m,cori regular,strong-scaling,1024,1031824.508,1.013051925
ior-t1m,lassen regular,weak-scaling,64,1045513.154,39.17202075
ior-t1m,lassen regular,weak-scaling,128,1047042.337,9.456182509
ior-t1m,lassen regular,weak-scaling,256,1047808.607,5.076760858
ior-t1m,lassen regular,weak-scaling,512,1048192.163,1.348192429
ior-t1m,lassen regular,weak-scaling,1024,1048384.046,1.16694357
ior-t1m,summit regular,weak-scaling,64,1045513.154,2.020680123
ior-t1m,summit regular,weak-scaling,128,1047042.337,1.477854004
ior-t1m,summit regular,weak-scaling,256,1047808.607,2.15799848
ior-t1m,summit regular,weak-scaling,512,1048192.163,1.280683731
ior-t1m,summit regular,weak-scaling,1024,1048384.046,0.840580615
ior-t1m,cori regular,weak-scaling,64,1045513.154,2.344636971
ior-t1m,cori regular,weak-scaling,128,1047042.337,1.885559085
ior-t1m,cori regular,weak-scaling,256,1047808.607,1.145868279
ior-t1m,cori regular,weak-scaling,512,1048192.163,1.290831558
ior-t1m,cori regular,weak-scaling,1024,1044337.339,1.088271865
