app,transfer_size,io_subsystem,scaling,num_proc,io_bandwidth,io_time,transfer_time
ior-t4k,4k,summit gpfs,weak-scaling,64,398686703.1102589,0.17936290625000023,0.11440681250000018
ior-t4k,4k,summit gpfs,weak-scaling,128,390100239.517976,0.20864217187500006,0.11301703906249998
ior-t4k,4k,summit gpfs,weak-scaling,256,384939495.8324294,0.2481113593750005,0.09918824609375043
ior-t4k,4k,summit gpfs,weak-scaling,512,381122803.0540814,0.3778171953125,0.09664366992187537
ior-t4k,4k,summit gpfs,weak-scaling,1024,375590479.03122336,0.7950863789062498,0.10084355957031155
ior-t4k,4k,summit node-local bb,weak-scaling,64,1744949030.3195949,0.03322224999999987,0.022810812499999906
ior-t4k,4k,summit node-local bb,weak-scaling,128,2046518962.870566,0.030154031250000005,0.019844585937500027
ior-t4k,4k,summit node-local bb,weak-scaling,256,2374181937.2241516,0.02625630859374985,0.016865550781249808
ior-t4k,4k,summit node-local bb,weak-scaling,512,2384737507.3686395,0.02618483984375011,0.016768921874999995
ior-t4k,4k,summit node-local bb,weak-scaling,1024,2378739490.87968,0.026433778320312483,0.016824526367187488
