app,transfer_size,io_subsystem,scaling,num_proc,io_bandwidth,io_time,transfer_time
ior-t4m,4m,lassen gpfs,weak-scaling,64,8248898348.140812,1.7780265312499999,0.030314687500000027
ior-t4m,4m,lassen gpfs,weak-scaling,128,7751422736.770452,1.5649624765624996,0.010757914062500004
ior-t4m,4m,lassen gpfs,weak-scaling,256,7015098968.235242,1.8942290039062497,0.008940863281249985
ior-t4m,4m,lassen gpfs,weak-scaling,512,6847650184.644772,2.1316614492187496,0.009776234374999956
ior-t4m,4m,lassen gpfs,weak-scaling,1024,4839917851.152115,1.9093123837890624,0.011625529296874954
ior-t4m,4m,lassen node-local bb,weak-scaling,64,4194741991.026371,0.011514249999999986,0.008881624999999962
ior-t4m,4m,lassen node-local bb,weak-scaling,128,3923004555.219684,0.011946210937499984,0.009390710937500001
ior-t4m,4m,lassen node-local bb,weak-scaling,256,3965484630.4021225,0.01202113281249991,0.009384527343750051
ior-t4m,4m,lassen node-local bb,weak-scaling,512,4017767728.513294,0.011878759765625017,0.009299771484375007
ior-t4m,4m,lassen node-local bb,weak-scaling,1024,4026471428.3048425,0.011767552734375006,0.009279706054687503
ior-t4m,4m,summit gpfs,weak-scaling,64,5992237168.237306,0.11024970312499999,0.013086000000000007
ior-t4m,4m,summit gpfs,weak-scaling,128,7400503305.910992,0.12192364843749999,0.013926156249999995
ior-t4m,4m,summit gpfs,weak-scaling,256,7048484862.295345,0.163753953125,0.01385664453125
ior-t4m,4m,summit gpfs,weak-scaling,512,7032298372.271271,0.32997871093750003,0.008286984375000006
ior-t4m,4m,summit gpfs,weak-scaling,1024,6918745321.223892,0.5771271074218749,0.007765034179687503
ior-t4m,4m,summit node-local bb,weak-scaling,64,5742858502.416672,0.011258421875,0.007037156249999999
ior-t4m,4m,summit node-local bb,weak-scaling,128,5595827532.291687,0.011339234374999998,0.007150828125
ior-t4m,4m,summit node-local bb,weak-scaling,256,5511132413.793644,0.011192437500000003,0.007218468749999999
ior-t4m,4m,summit node-local bb,weak-scaling,512,5518501783.116634,0.011276039062500002,0.007190541015625004
ior-t4m,4m,summit node-local bb,weak-scaling,1024,5572864029.761246,0.011080705078125003,0.007110523437500001
