app,machine,scaling,num_proc,io_volume,io_intensity
ior-t64k,lassen regular,strong-scaling,64,65533.00297,1.00073293
ior-t64k,lassen regular,strong-scaling,128,65533.00297,13.27404828
ior-t64k,lassen regular,strong-scaling,256,65533.00297,0.924260504
ior-t64k,lassen regular,strong-scaling,512,65533.00297,1.14995409
ior-t64k,lassen regular,strong-scaling,1024,65533.00297,2.857530713
ior-t64k,summit regular,strong-scaling,64,65533.00297,1.50274863
ior-t64k,summit regular,strong-scaling,128,65533.00297,1.533352694
ior-t64k,summit regular,strong-scaling,256,65533.00297,1.279117457
ior-t64k,summit regular,strong-scaling,512,65533.00297,1.11333728
ior-t64k,summit regular,strong-scaling,1024,65533.00297,0.885859879
ior-t64k,cori regular,strong-scaling,64,65533.00297,3.441659129
ior-t64k,cori regular,strong-scaling,128,65533.00297,1.483865159
ior-t64k,cori regular,strong-scaling,256,65533.00297,0.764145453
ior-t64k,cori regular,strong-scaling,512,65533.00297,0.757419127
ior-t64k,cori regular,strong-scaling,1024,65469.60121,0.478194737
ior-t64k,lassen regular,weak-scaling,64,65524.01352,0.955592324
ior-t64k,lassen regular,weak-scaling,128,65530.00621,1.063512495
ior-t64k,lassen regular,weak-scaling,256,65533.00297,1.01943641
ior-t64k,lassen regular,weak-scaling,512,65534.50145,1.27065654
ior-t64k,lassen regular,weak-scaling,1024,65535.25072,1.131660863
ior-t64k,summit regular,weak-scaling,64,65524.01352,3.118769563
ior-t64k,summit regular,weak-scaling,128,65530.00621,1.152110494
ior-t64k,summit regular,weak-scaling,256,65533.00297,1.713193378
ior-t64k,summit regular,weak-scaling,512,65534.50145,1.253620666
ior-t64k,summit regular,weak-scaling,1024,65535.25072,0.975455056
ior-t64k,cori regular,weak-scaling,64,65524.01352,0.655196404
ior-t64k,cori regular,weak-scaling,128,65530.00621,0.825457813
ior-t64k,cori regular,weak-scaling,256,65533.00297,1.606216554
ior-t64k,cori regular,weak-scaling,512,65534.50145,0.858021077
ior-t64k,cori regular,weak-scaling,1024,65519.38767,0.777578828
