app,machine,scaling,num_proc,io_volume,io_intensity
ior-t64k,lassen regular,strong-scaling,64,65533.00296769862,1.0007329298902694
ior-t64k,lassen regular,strong-scaling,128,65533.00296769862,13.274048283511362
ior-t64k,lassen regular,strong-scaling,256,65533.00296769862,0.9242605043085312
ior-t64k,lassen regular,strong-scaling,512,65533.00296769862,1.1499540895064886
ior-t64k,lassen regular,strong-scaling,1024,65533.00296769862,2.8575307125264544
ior-t64k,summit regular,strong-scaling,64,65533.00296769862,1.5027486304387958
ior-t64k,summit regular,strong-scaling,128,65533.00296769862,1.5333526939741882
ior-t64k,summit regular,strong-scaling,256,65533.00296769862,1.2791174566810974
ior-t64k,summit regular,strong-scaling,512,65533.00296769862,1.1133372801311425
ior-t64k,summit regular,strong-scaling,1024,65533.00296769862,0.885859879023988
ior-t64k,cori regular,strong-scaling,64,65533.00296769862,3.4416591285015743
ior-t64k,cori regular,strong-scaling,128,65533.00296769862,1.4838651587135967
ior-t64k,cori regular,strong-scaling,256,65533.00296769862,0.7641454532491466
ior-t64k,cori regular,strong-scaling,512,65533.00296769862,0.7574191267079307
ior-t64k,cori regular,strong-scaling,1024,65469.60121184406,0.4781947369486724
ior-t64k,lassen regular,weak-scaling,64,65524.013516812105,0.9555923241183928
ior-t64k,lassen regular,weak-scaling,128,65530.00620975863,1.0635124950983492
ior-t64k,lassen regular,weak-scaling,256,65533.00296769862,1.0194364100632853
ior-t64k,lassen regular,weak-scaling,512,65534.50144955178,1.2706565399834742
ior-t64k,lassen regular,weak-scaling,1024,65535.25071620122,1.1316608634584862
ior-t64k,summit regular,weak-scaling,64,65524.013516812105,3.1187695632751473
ior-t64k,summit regular,weak-scaling,128,65530.00620975863,1.1521104936890592
ior-t64k,summit regular,weak-scaling,256,65533.00296769862,1.7131933778450028
ior-t64k,summit regular,weak-scaling,512,65534.50144955178,1.2536206661704825
ior-t64k,summit regular,weak-scaling,1024,65535.25071620122,0.9754550555051987
ior-t64k,cori regular,weak-scaling,64,65524.013516812105,0.6551964044135301
ior-t64k,cori regular,weak-scaling,128,65530.00620975863,0.8254578131670891
ior-t64k,cori regular,weak-scaling,256,65533.00296769862,1.6062165539591144
ior-t64k,cori regular,weak-scaling,512,65534.50144955178,0.8580210767246574
ior-t64k,cori regular,weak-scaling,1024,65519.387673262514,0.7775788275025817
