app,transfer_size,io_subsystem,scaling,num_proc,io_bandwidth,io_time,transfer_time
ior-t64k,64k,lassen gpfs,weak-scaling,64,5332502630.208618,1.6952448125000008,0.030939968749999935
ior-t64k,64k,lassen gpfs,weak-scaling,128,5269615674.542698,1.5878584609374993,0.023123687499999934
ior-t64k,64k,lassen gpfs,weak-scaling,256,4923858915.481371,1.8563654687500004,0.01325632812500053
ior-t64k,64k,lassen gpfs,weak-scaling,512,4813082978.160299,2.1199494023437495,0.01243590625000016
ior-t64k,64k,lassen gpfs,weak-scaling,1024,4534724007.495744,2.5905306113281252,0.010170920898437331
ior-t64k,64k,lassen node-local bb,weak-scaling,64,6759487349.77594,0.008651874999999982,0.0060651406250000345
ior-t64k,64k,lassen node-local bb,weak-scaling,128,6593611752.192802,0.008985953124999883,0.0063013515625000155
ior-t64k,64k,lassen node-local bb,weak-scaling,256,6789750051.317367,0.008768222656250048,0.0060783085937499825
ior-t64k,64k,lassen node-local bb,weak-scaling,512,6816012486.83832,0.00868696289062513,0.006060828125000182
ior-t64k,64k,lassen node-local bb,weak-scaling,1024,6836963023.192155,0.00824906347656237,0.00583261132812503
ior-t64k,64k,summit gpfs,weak-scaling,64,4200867956.961832,0.24041956250000007,0.013539531250000021
ior-t64k,64k,summit gpfs,weak-scaling,128,4391253228.260689,0.1253135625000001,0.022622664062500006
ior-t64k,64k,summit gpfs,weak-scaling,256,4332857461.919057,0.19474039453125003,0.019881316406250016
ior-t64k,64k,summit gpfs,weak-scaling,512,3787479636.6921163,0.48924151757812506,0.014096371093749959
ior-t64k,64k,summit gpfs,weak-scaling,1024,4248355989.5271707,0.554367552734375,0.011910714843749996
ior-t64k,64k,summit node-local bb,weak-scaling,64,8802415126.821426,0.008331437499999986,0.004190437499999998
ior-t64k,64k,summit node-local bb,weak-scaling,128,9087126340.148912,0.008064234375000012,0.004006695312500018
ior-t64k,64k,summit node-local bb,weak-scaling,256,8872304290.94643,0.007831246093750027,0.004138527343750021
ior-t64k,64k,summit node-local bb,weak-scaling,512,9060118925.321417,0.007801523437499969,0.0040297734374999976
ior-t64k,64k,summit node-local bb,weak-scaling,1024,9098032424.612318,0.008075257812499986,0.004006890624999992
ior-t64k,64k,cori lustre,weak-scaling,64,25247466.40785894,1.461229296875,1.4446666250000002
ior-t64k,64k,cori lustre,weak-scaling,128,36868545.14036432,0.9774130468749997,0.9659776406249998
ior-t64k,64k,cori lustre,weak-scaling,256,19144799.111977138,2.00314770703125,1.9406773671875
ior-t64k,64k,cori lustre,weak-scaling,512,10665461.92103349,3.3965770820312504,3.3262450820312504
ior-t64k,64k,cori lustre,weak-scaling,1024,5516973.991910954,8.525036301757812,8.33580507421875
ior-t64k,64k,cori default bb,weak-scaling,64,25247466.40785894,1.461229296875,1.4446666250000002
ior-t64k,64k,cori default bb,weak-scaling,128,36868545.14036432,0.9774130468749997,0.9659776406249998
ior-t64k,64k,cori default bb,weak-scaling,256,19144799.111977138,2.00314770703125,1.9406773671875
ior-t64k,64k,cori default bb,weak-scaling,512,10665461.92103349,3.3965770820312504,3.3262450820312504
ior-t64k,64k,cori default bb,weak-scaling,1024,5516973.991910954,8.525036301757812,8.33580507421875
