app,transfer_size,num_bb,scaling,num_proc,io_bandwidth,io_time,transfer_time
ior-t64k,65536,0,weak-scaling,64,2795496558,0.062551172,0.025048266
ior-t64k,65536,0,weak-scaling,128,3075935544,0.072099094,0.02971893
ior-t64k,65536,0,weak-scaling,256,3309126023,0.20309298,0.026537484
ior-t64k,65536,0,weak-scaling,512,3466359598,0.160104828,0.026608115
ior-t64k,65536,0,weak-scaling,1024,3681505593,0.275716153,0.026788397
ior-t64k,65536,1,weak-scaling,64,25247466.41,1.461229297,1.444666625
ior-t64k,65536,1,weak-scaling,128,36868545.14,0.977413047,0.965977641
ior-t64k,65536,1,weak-scaling,256,19144799.11,2.003147707,1.940677367
ior-t64k,65536,1,weak-scaling,512,10665461.92,3.396577082,3.326245082
ior-t64k,65536,1,weak-scaling,1024,5516973.992,8.525036302,8.335805074
ior-t64k,65536,2,weak-scaling,64,77632962.2,0.586724797,0.572084203
ior-t64k,65536,2,weak-scaling,128,70132599.95,0.617420156,0.587508727
ior-t64k,65536,2,weak-scaling,256,44124629.38,1.139229941,1.083816234
ior-t64k,65536,2,weak-scaling,512,23453175.26,1.938478408,1.835399232
ior-t64k,65536,2,weak-scaling,1024,13570817.21,3.132864572,3.031119646
ior-t64k,65536,4,weak-scaling,64,85991080.65,0.463621516,0.455087656
ior-t64k,65536,4,weak-scaling,128,90494646.19,0.455291039,0.445507813
ior-t64k,65536,4,weak-scaling,256,78733651.67,0.49653302,0.461670922
ior-t64k,65536,4,weak-scaling,512,47738723.24,0.862357666,0.811366996
ior-t64k,65536,4,weak-scaling,1024,22470296.74,1.895451887,1.72390541
ior-t64k,65536,8,weak-scaling,64,84205067.87,0.448471688,0.43969175
ior-t64k,65536,8,weak-scaling,128,88496815.13,0.448709805,0.439617008
ior-t64k,65536,8,weak-scaling,256,101373241.9,0.457549563,0.444663129
ior-t64k,65536,8,weak-scaling,512,80961571.57,0.502845707,0.471230793
ior-t64k,65536,8,weak-scaling,1024,42540374.74,0.974671776,0.914230258
ior-t64k,65536,16,weak-scaling,64,86749074.2,0.435620687,0.426221437
ior-t64k,65536,16,weak-scaling,128,82876525.28,0.490750758,0.479716523
ior-t64k,65536,16,weak-scaling,256,87288610.38,0.453091211,0.44038502
ior-t64k,65536,16,weak-scaling,512,98331896.28,0.543704475,0.518748811
ior-t64k,65536,16,weak-scaling,1024,72039206.36,0.620492308,0.577476893
ior-t4k,4096,0,weak-scaling,64,1713717979,0.125896422,0.065109484
ior-t4k,4096,0,weak-scaling,128,1698552368,0.105518055,0.064353539
ior-t4k,4096,0,weak-scaling,256,1700915547,0.165730969,0.06476166
