app,transfer_size,io_subsystem,scaling,num_proc,io_bandwidth,io_time,transfer_time
paradis,<1k,lassen gpfs,weak-scaling,64,1326774.3804595214,0.17649556250001308,0.003820562499999826
paradis,<1k,lassen gpfs,weak-scaling,128,1331108.394358596,0.07736759374996754,0.002267671875000609
paradis,<1k,lassen gpfs,weak-scaling,256,1303852.2973431034,0.05386279687499032,0.0021635390624996694
paradis,<1k,lassen gpfs,weak-scaling,512,1523375.0944130707,0.041243943359373196,0.0006404422310758374
paradis,<1k,lassen gpfs,weak-scaling,1024,1433624.9021295349,0.06088604394531252,0.0004377812499999691
paradis,<1k,lassen node-local bb,weak-scaling,64,1380309.4195555567,0.12355131250000548,0.0037585937500003025
paradis,<1k,lassen node-local bb,weak-scaling,128,1292618.230456857,0.0625490859374946,0.002386882812500747
paradis,<1k,lassen node-local bb,weak-scaling,256,1303246.779317983,0.03250102343750732,0.002161875000000004
paradis,<1k,lassen node-local bb,weak-scaling,512,1667292.4453932417,0.015967552734376434,0.0005654183266932273
paradis,<1k,lassen node-local bb,weak-scaling,1024,1597040.323153286,0.008304690429686823,0.00039361971830986726
paradis,<1k,summit gpfs,weak-scaling,64,2203551.3976593562,0.143147156250027,0.002192312500002266
paradis,<1k,summit gpfs,weak-scaling,128,3484958.103032308,0.07484614843750843,0.0013257187500000773
paradis,<1k,summit gpfs,weak-scaling,256,4009009.121170551,0.05090443750000177,0.0011605273437505453
paradis,<1k,summit gpfs,weak-scaling,512,4668511.118000843,0.0390208300781258,0.0006215937499998256
paradis,<1k,summit gpfs,weak-scaling,1024,4754786.723207393,0.026778589843751865,0.0004899736328124373
paradis,<1k,summit node-local bb,weak-scaling,64,2269865.10885547,0.11052318749995466,0.0021664062499999227
paradis,<1k,summit node-local bb,weak-scaling,128,3477061.0396914934,0.05570621093748833,0.0012832890625002087
paradis,<1k,summit node-local bb,weak-scaling,256,4021834.8351861676,0.028565875000012526,0.0011853085937492546
paradis,<1k,summit node-local bb,weak-scaling,512,4720821.657932681,0.014416289062503116,0.000586132812500037
paradis,<1k,summit node-local bb,weak-scaling,1024,4755354.631909338,0.00754161621093885,0.0004907626953127603
paradis,<1k,cori lustre,weak-scaling,64,24455446.710542902,0.1605983281250376,0.0002347656249998657
paradis,<1k,cori lustre,weak-scaling,128,25008988.42895687,0.08414710156251326,0.0001731484374994906
paradis,<1k,cori lustre,weak-scaling,256,26103494.025829725,0.14403564453125461,0.0002770937500000221
paradis,<1k,cori lustre,weak-scaling,512,26676801.875270285,0.043339140624999606,0.0002341054687496178
paradis,<1k,cori lustre,weak-scaling,1024,26886438.088115547,0.05150146972656592,0.00023449511718750708
paradis,<1k,cori default bb,weak-scaling,64,24278601.801434875,0.18199828124993103,0.000247093749996249
paradis,<1k,cori default bb,weak-scaling,128,24983726.46533812,0.10097462500001275,0.000177539062499409
paradis,<1k,cori default bb,weak-scaling,256,26213566.282815687,0.1041032382812445,0.00027268750000014673
paradis,<1k,cori default bb,weak-scaling,512,26515304.103106022,0.04701662695311837,0.0002376972656250066
paradis,<1k,cori default bb,weak-scaling,1024,26861484.793100435,0.10033444726562599,0.0002462060546874564
