level_0,index,scaling,num_proc,io_subsystem,time,speed_up,app
0,0,strong-scaling,64,cori bb,0.89804,1.035176829539887,haccio
1,5,strong-scaling,64,lassen bb,0.16118164,99.12726883781554,haccio
2,7,strong-scaling,64,summit bb,0.04729692,23.869387689515513,haccio
3,9,strong-scaling,128,cori bb,1.4075715999999998,0.38500549456951255,haccio
4,14,strong-scaling,128,lassen bb,0.12954312,23.448524784643137,haccio
5,16,strong-scaling,128,summit bb,0.0393467,9.41248897620385,haccio
6,18,strong-scaling,256,cori bb,2.3878291999999997,0.3335499038205916,haccio
7,23,strong-scaling,256,lassen bb,0.03358896,99.47759621018335,haccio
8,25,strong-scaling,256,summit bb,0.035450119999999995,12.082808182313629,haccio
9,27,strong-scaling,512,cori bb,6.291456,0.15120655695597332,haccio
10,32,strong-scaling,512,lassen bb,0.03680852,96.39100403928222,haccio
11,34,strong-scaling,512,summit bb,0.033290059999999996,21.94195504604077,haccio
12,36,strong-scaling,1024,cori bb,8.884182,0.08365582785224347,haccio
13,41,strong-scaling,1024,lassen bb,0.105102594,41.67770588040863,haccio
14,43,strong-scaling,1024,summit bb,0.032325914,140.94635034913478,haccio
15,45,weak-scaling,64,cori bb,0.7819956,1.5456621495057006,haccio
16,50,weak-scaling,64,lassen bb,0.11682178000000001,19.073673590660917,haccio
17,52,weak-scaling,64,summit bb,0.03433470000000001,6.372281103373553,haccio
18,54,weak-scaling,128,cori bb,1.3614084,0.5881926393285072,haccio
19,59,weak-scaling,128,lassen bb,0.11218786,20.12547061687423,haccio
20,61,weak-scaling,128,summit bb,0.03494002,43.866923945664595,haccio
21,63,weak-scaling,256,cori bb,2.4641078,0.4290434046757208,haccio
22,68,weak-scaling,256,lassen bb,0.0335632,75.09635553224959,haccio
23,70,weak-scaling,256,summit bb,0.03529654,71.91142814564827,haccio
24,72,weak-scaling,512,cori bb,6.732462000000001,0.09994435913637537,haccio
25,77,weak-scaling,512,lassen bb,0.03362582,89.9642536598364,haccio
26,79,weak-scaling,512,summit bb,0.035588220000000004,48.139929448564715,haccio
27,81,weak-scaling,1024,cori bb,8.333854,0.26048034918778273,haccio
28,86,weak-scaling,1024,lassen bb,0.11469568,31.463287893667836,haccio
29,88,weak-scaling,1024,summit bb,0.03547462,38.72127171482034,haccio
0,0,weak-scaling,64,cori bb,21.000458400000003,1.005464090250525,paradis
1,2,weak-scaling,64,lassen bb,24.7133604,1.0120969708352572,paradis
2,4,weak-scaling,64,summit bb,58.602190799999995,1.0055834875033376,paradis
3,6,weak-scaling,128,cori bb,11.791907400000001,0.9894896393097522,paradis
4,8,weak-scaling,128,lassen bb,13.6504716,1.0083328696130909,paradis
5,10,weak-scaling,128,summit bb,32.412075,1.0091639551000668,paradis
6,12,weak-scaling,256,cori bb,7.142458,1.082463040034677,paradis
7,14,weak-scaling,256,lassen bb,7.704379,1.0144588162134807,paradis
